threat_name,sig_type,sig_data
"_!Harnig.gen!A","SIGNATURE_TYPE_PEHSTR","0400030004000001000C25733F633D2564002573257301000F0F85C50000008B35A8101413BF0004020020257325732669643D256426633D25640025750000257325732573000025733F630200306578706C6F7265722E657865000000006B65726E656C33322E646C6C00000000497350726F636573736F7246656174750000"
"_!Harnig.gen!A","SIGNATURE_TYPE_THREAT_END","DB600100"
"_!Matcash.gen!E","SIGNATURE_TYPE_THREAT_BEGIN","498101000000010008000F00AC214D6174636173682E67656E21450000014005833F000200"
"_!Matcash.gen!E","SIGNATURE_TYPE_PEHSTR","0400040005000002002E48415244574152455C4445534352495054494F4E5C53797374656D5C43656E7472616C50726F636573736F725C3001000D6370762E6C62616E6E2E636F6D010018435056362E444C4C00446C6C43616E556E6C6F61644E6F7701002E2D0034003800370045002D0042003300390039002D0033004600310039003100410043003000460045003200330001000B75706C2E6C6200006370760000"
"_!Matcash.gen!E","SIGNATURE_TYPE_THREAT_END","49810100"
"_!Zlob.gen!D","SIGNATURE_TYPE_THREAT_BEGIN","D2AA01000000010004000C0088215A6C6F622E67656E21440000014005833F000200"
"_!Zlob.gen!D","SIGNATURE_TYPE_PEHSTR","0900090003000003002033000000757365720000000068726E25642E636D640000007A7500002225732203002020476F006973742022257322000000002045780049660000656C20222573220D0300206469000072655C5765624D00536F6674776100007765720061566965000000000000"
"_!Zlob.gen!D","SIGNATURE_TYPE_THREAT_END","D2AA0100"
"_!Killav.KB","SIGNATURE_TYPE_THREAT_BEGIN","B6BF01000000010008000B00AC214B696C6C61762E4B4200000140058300000000"
"_!Killav.KB","SIGNATURE_TYPE_PEHSTR","170017000E00000A007FFF750C8F45F88365FC00C745E0180000008365E4008365E8008365EC008365F0008D45F8508D45E0506A018D45DC50E85E00000085C075416A00FF75DCE856000000FF75DCE854000000EB2D8B40048B503C8B7C022803F88B070F20C2FA5281E2FFFFFEFF0F22C266B831C066ABB8C2080000AB5A0F22C2FB5F5EC9C20C00010014620064006D0063006F006E002E0065007800650001001062006400730073002E00650078006500010012630063006C00610077002E006500780065000100146600730061007600330032002E006500780065000100106600730062006C002E00650078006500010012660073006D00330032002E00650078006500010018670063006100730073006500720076002E006500780065000100186D00630073006800690065006C0064002E006500780065000100146D00730073007300720076002E006500780065000100186E006F006400330032006B0072006E002E006500780065000100167A0063006C00690065006E0074002E00650078006500010016730061006E00640062006F0078002E007300790073000100187700610074006300680064006F0067002E007300790073000000"
"_!Killav.KB","SIGNATURE_TYPE_THREAT_END","B6BF0100"
"_!Zlob.AMM","SIGNATURE_TYPE_THREAT_BEGIN","14C001000000010004000A0088215A6C6F622E414D4D0000014005833F000200"
"_!Zlob.AMM","SIGNATURE_TYPE_PEHSTR","0B000A000B00000100494974206D617920626520706F737369626C6520746F20736B6970207468697320636865636B207573696E6720746865202F4E43524320636F6D6D616E64206C696E652073776974636801001264656C202F46202F5120696D65782E62617401000E646F776E6C6F61645F717569657401001450726F78792D417574686F72697A6174696F6E3A01000B557365722D4167656E743A01000E436F6E6E656374696E67202E2E2E01002F4E4F5449434520544F20555345523A205448495320454E442055534552204C4943454E53452041475245454D454E540100285370656369616C204E6F7469636520666F72204E6F6E2D456E676C69736820537065616B6572733A01003F566964656F20436F64656320536F66747761726520697320737569746564207072696D6172696C7920666F722074686520757365206F6620456E676C6973680100062333323737300100174E756C6C736F667420496E7374616C6C2053797374656D0000"
"_!Zlob.AMM","SIGNATURE_TYPE_THREAT_END","14C00100"
"_!Alureon.gen!E","SIGNATURE_TYPE_THREAT_BEGIN","B0C001000000010008000F00AC21416C7572656F6E2E67656E214500000140058370000400"
"_!Alureon.gen!E","SIGNATURE_TYPE_PEHSTR","080107010F000064001A4D4435486173682066756E6374696F6E2065787065637465642164001D4865784465636F6465722066756E6374696F6E206578706563746564210A00076B65792E6C6B790A000A7365747570332E6578650A00105C6E6F74657061642E6578652E6461740A000D5C63616C632E6578652E6461740A0007446563727970740A0052534F46545741524520494E5354414C4C4154494F4E3A20436F6D706F6E656E74732062756E646C656420696E746F2074686520736F667477617265206D6179207265706F727420746F204C6963656E736F720A00062333323737300A000D446372797074446C6C2E646C6C0100174E756C6C736F667420496E7374616C6C2053797374656D0100494974206D617920626520706F737369626C6520746F20736B6970207468697320636865636B207573696E6720746865202F4E43524320636F6D6D616E64206C696E65207377697463680100116D6F6465726E2D6865616465722E626D7001000D73746172746D656E752E646C6C0100086C7A6D612E6578650000"
"_!Alureon.gen!E","SIGNATURE_TYPE_THREAT_END","B0C00100"
"_!Alureon.gen!F","SIGNATURE_TYPE_THREAT_BEGIN","1CC401000000010008000F00AC21416C7572656F6E2E67656E214600000140058370000400"
"_!Alureon.gen!F","SIGNATURE_TYPE_PEHSTR","07000600060000020052534F46545741524520494E5354414C4C4154494F4E3A20436F6D706F6E656E74732062756E646C656420696E746F2074686520736F667477617265206D6179207265706F727420746F204C6963656E736F720100176372632E657865007061636B2E62696E002D6F2B202D7001000D5C736574757020312E6578650001000D5C736574757020322E6578650001000B5C6372632E6578652220650100097061636B2E62696E000000"
"_!Alureon.gen!F","SIGNATURE_TYPE_THREAT_END","1CC40100"
"_!Conhook.G","SIGNATURE_TYPE_THREAT_BEGIN","3BC401000000010008000B00AC21436F6E686F6F6B2E470000014005835D000400"
"_!Conhook.G","SIGNATURE_TYPE_PEHSTR","700070000F00000A000E5C6477496D706572736F6E6174650A000F5C64774173796E6368726F6E6F75730A001553746172747570004E6F74696679537461727475700A001A53687574646F776E000000004E6F7469667953687574646F776E0A003D536F6674776172655C4D6963726F736F66745C57696E646F7773204E545C43757272656E7456657273696F6E5C57696E6C6F676F6E5C4E6F746966795C0A004A534F4654574152455C4D6963726F736F66745C57696E646F77735C43757272656E7456657273696F6E5C4578706C6F7265725C42726F777365722048656C706572204F626A656374735C0A0010536563757269747920546F6F6C6261720A000D50726F6365737333324E6578740A000E50726F63657373333246697273740A0018437265617465546F6F6C68656C703332536E617073686F740A002C536F6674776172655C4D6963726F736F66745C496E7465726E6574204578706C6F7265725C546F6F6C6261720100267B41393542323831362D314437452D343536312D413230322D3638433044453032333533417D0100267B31314136394145342D464245442D343833322D413242462D3435414638323832353538337D01001F687474703A2F2F687465706F2E636F6D2F636568706D6F696E2F3F636D703D010016687474703A2F2F7265747373616D2E636F6D2F686D2F0000"
"_!Conhook.G","SIGNATURE_TYPE_THREAT_END","3BC40100"
"_!Zlob.ZWP","SIGNATURE_TYPE_THREAT_BEGIN","4CC401000000010004000A0088215A6C6F622E5A57500000014005833F000200"
