threat_name,sig_type,sig_data
"_1Gaobot","SIGNATURE_TYPE_PEHSTR","0F000A00D2000001000E74686561676F40676D782E6E657401000B70656E697333322E65786501000A6972632E73657276657201000D6972632E7265636F6E6E6563740100076972632E7261770100086972632E7175697401000B6972632E707269766D73670100086972632E7061727401000B6972632E6E6574696E666F0100086972632E6D6F64650100086972632E6A6F696E01000B6972632E676574686F737401000A6972632E67657465647501000A6972632E616374696F6E01000E6972632E646973636F6E6E65637401000B626F742E636F6D6D616E6401000C626F742E756E73656375726501000C626F742E666C757368646E73010008626F742E7175697401000D626F742E68696768737065656401000E626F742E6C6F6E67757074696D6501000B626F742E737973696E666F01000A626F742E73746174757301000B626F742E726E646E69636B010010626F742E72656D6F7665616C6C62757401000A626F742E72656D6F7665010008626F742E6F70656E010008626F742E6E69636B010006626F742E696401000B626F742E65786563757465010007626F742E646E73010007626F742E646965010009626F742E61626F757401000E696E73745F706F6C796D6F72706801000C76756C6E5F6368616E6E656C01000F736E69666665725F6368616E6E656C01000F736E69666665725F656E61626C65640100107370616D5F616F6C5F656E61626C65640100107370616D5F616F6C5F6368616E6E656C01000E7363616E696E666F5F6C6576656C01000D7363616E696E666F5F6368616E01000D63646B65795F77696E646F777301000E6964656E74645F656E61626C656401001072656469725F6D61787468726561647301000F64646F735F6D61787468726561647301000F7363616E5F6D6178736F636B65747301000F7363616E5F6D61787468726561647301000F61735F736572766963655F6E616D6501000A61735F7365727669636501000A61735F656E61626C656401000A61735F76616C6E616D6501000A646F5F737465616C7468010009646F5F61766B696C6C01000C646F5F73706565647465737401000C626F745F746F706963636D6401000E626F745F6D656C7473657276657201000C626F745F72616E646E69636B01000C626F745F636F6D706E69636B01000C626F745F7365636C6F67696E01000B626F745F74696D656F757401000A626F745F707265666978010006626F745F696401000C626F745F66696C656E616D6501000B626F745F76657273696F6E01000773695F6E69636B01000973695F75736573736C01000B73695F736572767061737301000973695F73657276657201000773695F706F727401000D73695F6E69636B70726566697801000B73695F6D61696E6368616E01000B73695F6368616E70617373010013626F745F667472616E735F706F72745F66747001000F626F745F667472616E735F706F727401000A626F742E72657065617401000D7368656C6C2E64697361626C6501000C7368656C6C2E656E61626C6501000D7368656C6C2E68616E646C657201000D636F6D6D616E64732E6C6973740100137363616E2E636C6561726E657472616E67657301000A626F742E7365637572650100107363616E2E6164646E657472616E676501000E736572766572352E75736573736C010010736572766572352E736572767061737301000E736572766572352E73657276657201000C736572766572352E706F7274010012736572766572352E6E69636B707265666978010010736572766572352E6D61696E6368616E010010736572766572352E6368616E7061737301000E736572766572342E75736573736C010010736572766572342E736572767061737301000E736572766572342E73657276657201000C736572766572342E706F7274010012736572766572342E6E69636B707265666978010010736572766572342E6D61696E6368616E010010736572766572342E6368616E7061737301000E736572766572332E75736573736C010010736572766572332E736572767061737301000E736572766572332E73657276657201000C736572766572332E706F7274010012736572766572332E6E69636B707265666978010010736572766572332E6D61696E6368616E010010736572766572332E6368616E7061737301000E736572766572322E75736573736C010010736572766572322E736572767061737301000E736572766572322E73657276657201000C736572766572322E706F7274010012736572766572322E6E69636B707265666978010010736572766572322E6D61696E6368616E010010736572766572322E6368616E7061737301000E736572766572312E75736573736C010010736572766572312E736572767061737301000E736572766572312E73657276657201000C736572766572312E706F7274010012736572766572312E6E69636B707265666978010010736572766572312E6D61696E6368616E010010736572766572312E6368616E7061737301000E736572766572302E75736573736C010010736572766572302E736572767061737301000E736572766572302E73657276657201000C736572766572302E706F7274010012736572766572302E6E69636B707265666978010010736572766572302E6D61696E6368616E010010736572766572302E6368616E7061737301001075736572302E6964656E74646D61736B01000E75736572302E686F73746D61736B01000E75736572302E70617373776F726401000E75736572302E757365726E616D6501000B706C7567696E2E6C6F616401000F637661722E73617665636F6E66696701000F637661722E6C6F6164636F6E666967010008637661722E736574010008637661722E676574010009637661722E6C69737401000B696E73742E73766364656C01000B696E73742E73766361646401000A696E73742E617364656C01000A696E73742E617361646401000866696C652E64656C01000D6C6F6769632E6966737065656401000E6C6F6769632E6966757074696D6501000A6D61632E6C6F676F757401000A6674702E75706461746501000B6674702E6578656375746501000C6674702E646F776E6C6F616401000A687474702E766973697401000B687474702E75706461746501000C687474702E6578656375746501000D687474702E646F776E6C6F616401000A72736C2E6C6F676F666601000C72736C2E73687574646F776E01000A72736C2E7265626F6F7401000D706374726C2E6B696C6C70696401000D706374726C2E6B696C6C73766301000D706374726C2E6C69737473766301000A706374726C2E6B696C6C01000A706374726C2E6C69737401000E687474702E73706565647465737401000A7363616E2E73746174730100097363616E2E73746F7001000A7363616E2E737461727401000C7363616E2E73746F70616C6C01000D7363616E2E7374617274616C6C01000C7363616E2E64697361626C6501000B7363616E2E656E61626C650100137363616E2E72657365746E657472616E6765730100127363616E2E6C6973746E657472616E6765730100107363616E2E64656C6E657472616E676501000B64646F732E74617267613301000D64646F732E70686174776F6E6B01000D64646F732E7068617469636D7001000C64646F732E7068617473796E01000964646F732E73746F7001000E64646F732E68747470666C6F6F6401000D64646F732E73796E666C6F6F6401000D64646F732E756470666C6F6F6401000D72656469726563742E73746F7001000F72656469726563742E736F636B733501000E72656469726563742E736F636B7301000E72656469726563742E687474707301000D72656469726563742E6874747001000C72656469726563742E67726501000C72656469726563742E74637001000B686172766573742E616F6C01000E686172766573742E63646B657973010012686172766573742E656D61696C736874747001000E686172766573742E656D61696C73010013686172766573742E77696E646F77736B657973010010686172766573742E72656769737472790100097363616E2E64636F6D01000C7363616E2E6C6F6361746F7201000C7363616E2E6E657462696F7301000B7363616E2E77656264617601000963646B65792E67657401000E64646F732E70696E67666C6F6F6401001473695F7365727665725F302E6368616E7061737301001473695F7365727665725F302E6D61696E6368616E01001673695F7365727665725F302E6E69636B70726566697801001073695F7365727665725F302E706F727401001273695F7365727665725F302E73657276657201001473695F7365727665725F302E736572767061737301001373695F7365727665725F302E7573655F73736C01001773695F7365727665725F726F6F742E6368616E7061737301001773695F7365727665725F726F6F742E6D61696E6368616E01001973695F7365727665725F726F6F742E6E69636B70726566697801001373695F7365727665725F726F6F742E706F727401001573695F7365727665725F726F6F742E73657276657201001773695F7365727665725F726F6F742E736572767061737301001673695F7365727665725F726F6F742E7573655F73736C0300083A50686174424E430000"
"_1Gaobot","SIGNATURE_TYPE_THREAT_END","0C190180"
"_1Nachi","SIGNATURE_TYPE_THREAT_BEGIN","0E1901800000010005000700A4314E6163686900000140058264000400"
"_1Nachi","SIGNATURE_TYPE_PEHSTR","0600050006000001003B434C5349445C7B45364642354532302D444533352D313143462D394338372D3030414130303531323745447D5C496E50726F63536572766572333202001E57335356435C506172616D65746572735C5669727475616C20526F6F747301001A2573202F7175696574202F6E6F72657374617274202F6F202F6E01002057696E646F7773323030302D4B423832383734392D7838362D454E552E65786501001625735C647269766572735C737663686F73742E65786501002553656C65637420224441563A646973706C61796E616D65222066726F6D2073636F706528290000"
"_1Nachi","SIGNATURE_TYPE_THREAT_END","0E190180"
"_1Netsky","SIGNATURE_TYPE_THREAT_BEGIN","101901800000010005000800A4314E6574736B7900000140058264000400"
"_1Netsky","SIGNATURE_TYPE_PEHSTR","080007000C000001003B434C5349445C7B45364642354532302D444533352D313143462D394338372D3030414130303531323745447D5C496E50726F63536572766572333201000B4B6173706572736B79417601002B436F6E74656E742D547970653A206170706C69636174696F6E2F782D7A69702D636F6D707265737365643B01000A5243505420544F3A203C01000C4D41494C2046524F4D3A203C01002D534F4654574152455C4D6963726F736F66745C57696E646F77735C43757272656E7456657273696F6E5C52756E01000B7365782E646F632E657865010013636F6D70696C6174696F6E2E646F632E65786501001264696374696F6E6172792E646F632E65786501000D3231332E3139312E37342E313901000D3139332E3134312E34302E343201002625732C20257520257320257520252E32753A252E32753A252E3275202573252E3275252E32750000"
"_1Netsky","SIGNATURE_TYPE_THREAT_END","10190180"
"_1NewWorm","SIGNATURE_TYPE_THREAT_BEGIN","171901800000010005000900A4314E6577576F726D00000140058264000400"
"_1NewWorm","SIGNATURE_TYPE_PEHSTR","140010001C000001001652656769737465725365727669636550726F63657373010035536F6674776172655C4D6963726F736F66745C57696E646F77735C43757272656E7456657273696F6E5C52756E536572766963657302002453595354454D5C43757272656E74436F6E74726F6C5365745C436F6E74726F6C5C4C736103000764636F6D31333503000864646F732E73796E03000864646F732E61636B03000B64646F732E72616E646F6D040013204578706C6F6974696E672049503A2025732E0100314452495645523D7B53514C205365727665727D3B5345525645523D25732C25643B5549443D25733B5057443D25733B257301000C6E776E63646B65792E696E6901000F41646D696E245C73797374656D333201001363245C77696E646F77735C73797374656D333201001163245C77696E6E745C73797374656D333201000725735C697063240100094C414E4D414E322E310100125C5C25735C706970655C65706D617070657201002C57696E326B20416476616E63656420536572766572205B5350345D202020202020206E65747261702E646C6C01002C57696E326B2050726F66657373696F6E616C202020205B756E6976657273616C5D206E65747261702E646C6C01002C57696E58502050726F66657373696F6E616C202020205B756E6976657273616C5D206C736173732E6578652001001174667470202D692025732067657420257301001D45584543206D61737465722E2E78705F636D647368656C6C2027257327010021570069006E0064006F00770073002000320030003000300020003200310039003501001F570069006E0064006F007700730020003200300030003000200035002E003001000D5C006C007300610072007000630100236700570069006E0064006F0077007300200032003000300030002000320031003900350100275C005C003100390032002E003100360038002E0031002E003200310030005C00490050004300240100395C00430024005C003100320033003400350036003100310031003100310031003100310031003100310031003100310031002E0064006F00630100095C00490050004300240100"
